track_name,artists,probability
Welcome to the Black Parade,My Chemical Romance,0.9986047
Fade Into You,Mazzy Star,0.99853456
Bohemian Rhapsody,Queen,0.9982424
I Remember You,Skid Row,0.99738663
High and Dry,Radiohead,0.9971842
Rooster (2022 Remaster),Alice In Chains,0.9971551
Oceans (Where Feet May Fail),Hillsong UNITED;TAYA,0.9971457
Rehab,Amy Winehouse,0.99669987
Take Me Out,Franz Ferdinand,0.99650586
Paranoid Android,Radiohead,0.9962715
Juliet,Cavetown,0.99584275
Walk This Way (feat. Aerosmith),Run–D.M.C.;Aerosmith,0.9957228
Twist And Shout - Remastered 2009,The Beatles,0.9954099
Space Song,Beach House,0.99527776
Killing In The Name,Rage Against The Machine,0.9952742
"Deva Deva (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya;Jonita Gandhi,0.9952361
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,0.99510694
Baby Came Home 2 / Valentines,The Neighbourhood,0.9948704
Self Control,Laura Branigan,0.99484104
Play That Funky Music,Wild Cherry,0.99483067
